Context;Instance;Reference;en;fr;it;pt;nb
ReportViewName;"\Dashboard - Sales.srex";"Chart NVD3";;;;;
ReportViewName;"\Dashboard - Sales.srex";"table";;;;;
ReportViewName;"\Dashboard - Sales.srex";"Data Table";;;;;
ReportViewName;"\Dashboard - Sales.srex";"Employee";;;;;
ReportViewName;"\Dashboard - Sales.srex";"Container View";;;;;
ReportViewName;"\Dashboard - Sales.srex";"chart1";;;;;
ReportViewName;"\Dashboard - Sales.srex";"Chart NVD3";;;;;
ReportViewName;"\Dashboard - Sales.srex";"table";;;;;
ReportViewName;"\Dashboard - Sales.srex";"Data Table";;;;;
ReportViewName;"\Dashboard - Sales.srex";"chart2";;;;;
ReportViewName;"\Dashboard - Sales.srex";"Chart NVD3";;;;;
ReportViewName;"\Dashboard - Sales.srex";"Category";;;;;
ReportViewName;"\Dashboard - Sales.srex";"Container View";;;;;
ReportViewName;"\Dashboard - Sales.srex";"chart1";;;;;
ReportViewName;"\Dashboard - Sales.srex";"Chart NVD3";;;;;
ReportViewName;"\Dashboard - Sales.srex";"chart2";;;;;
ReportViewName;"\Dashboard - Sales.srex";"Chart NVD3";;;;;
ReportViewName;"\Dashboard - Sales.srex";"table";;;;;
ReportViewName;"\Dashboard - Sales.srex";"Data Table";;;;;
ReportViewName;"\Dashboard - Sales.srex";"General";;;;;
ReportViewName;"\Dashboard - Sales.srex";"Container View";;;;;
ReportViewName;"\Dashboard - Sales.srex";"chart amount";;;;;
ReportViewName;"\Dashboard - Sales.srex";"Chart NVD3";;;;;
ReportViewName;"\Dashboard - Sales.srex";"chart category";;;;;
ReportViewName;"\Dashboard - Sales.srex";"Chart NVD3";;;;;
ReportViewName;"\Dashboard - Sales.srex";"chart employee";;;;;
ReportViewName;"\Dashboard - Sales.srex";"Chart NVD3";;;;;
ReportViewName;"\Dashboard - Sales.srex";"table";;;;;
ReportViewName;"\Dashboard - Sales.srex";"Data Table";;;;;
ReportViewName;"\Dashboard - Sales.srex";"chart country";;;;;
ReportViewName;"\Dashboard - Sales.srex";"Chart NVD3";;;;;
ReportViewName;"\Dashboard - Sales.srex";"Orders";;;;;
ReportViewName;"\Dashboard - Sales.srex";"orders";;;;;
ReportViewName;"\Dashboard - Sales.srex";"Chart NVD3";;;;;
ReportViewName;"\Dashboard - Sales.srex";"Data Table";;;;;
ReportOutputName;"\Dashboard - Sales.srex";"HTML File";;;;;
ReportDisplayName;"\Search - Orders.srex";"Recherche - Commandes";;;;;
ReportViewName;"\Search - Orders.srex";"Orders";;;;;
ReportViewName;"\Search - Orders.srex";"Model HTML View";;;;;
ReportViewName;"\Search - Orders.srex";"Model Container";;;;;
ReportViewName;"\Search - Orders.srex";"Page Table";;;;;
ReportViewName;"\Search - Orders.srex";"Chart JS";;;;;
ReportViewName;"\Search - Orders.srex";"Chart NVD3";;;;;
ReportViewName;"\Search - Orders.srex";"Chart Plotly";;;;;
ReportViewName;"\Search - Orders.srex";"Data Table";;;;;
ReportViewName;"\Search - Orders.srex";"Excel";;;;;
ReportViewName;"\Search - Orders.srex";"Model CSV Excel View";;;;;
ReportDisplayName;"\Samples\01-Simple list (Products).srex";"01-Simple list (Products)";;;;;
ReportViewName;"\Samples\01-Simple list (Products).srex";"view";;;;;
ReportViewName;"\Samples\01-Simple list (Products).srex";"Model HTML View";;;;;
ReportViewName;"\Samples\01-Simple list (Products).srex";"Model Container";;;;;
ReportViewName;"\Samples\01-Simple list (Products).srex";"Page Table";;;;;
ReportViewName;"\Samples\01-Simple list (Products).srex";"Chart JS";;;;;
ReportViewName;"\Samples\01-Simple list (Products).srex";"Chart NVD3";;;;;
ReportViewName;"\Samples\01-Simple list (Products).srex";"Chart Plotly";;;;;
ReportViewName;"\Samples\01-Simple list (Products).srex";"Data Table";;;;;
ReportViewName;"\Samples\01-Simple list (Products).srex";"view Excel";;;;;
ReportViewName;"\Samples\01-Simple list (Products).srex";"Model CSV Excel View";;;;;
ReportDisplayName;"\Samples\02-Restrictions (Orders).srex";"02-Restrictions (Orders)";;;;;
ReportViewName;"\Samples\02-Restrictions (Orders).srex";"view";;;;;
ReportViewName;"\Samples\02-Restrictions (Orders).srex";"Model HTML View";;;;;
ReportViewName;"\Samples\02-Restrictions (Orders).srex";"Model Container";;;;;
ReportViewName;"\Samples\02-Restrictions (Orders).srex";"Page Table";;;;;
ReportViewName;"\Samples\02-Restrictions (Orders).srex";"Chart JS";;;;;
ReportViewName;"\Samples\02-Restrictions (Orders).srex";"Chart NVD3";;;;;
ReportViewName;"\Samples\02-Restrictions (Orders).srex";"Chart Plotly";;;;;
ReportViewName;"\Samples\02-Restrictions (Orders).srex";"Data Table";;;;;
ReportViewName;"\Samples\02-Restrictions (Orders).srex";"view Excel";;;;;
ReportViewName;"\Samples\02-Restrictions (Orders).srex";"Model CSV Excel View";;;;;
ReportDisplayName;"\Samples\03-Cross tab - Simple chart (Orders).srex";"03-Cross tab - Simple chart (Orders)";;;;;
ReportViewName;"\Samples\03-Cross tab - Simple chart (Orders).srex";"view";;;;;
ReportViewName;"\Samples\03-Cross tab - Simple chart (Orders).srex";"Model HTML View";;;;;
ReportViewName;"\Samples\03-Cross tab - Simple chart (Orders).srex";"Model Container";;;;;
ReportViewName;"\Samples\03-Cross tab - Simple chart (Orders).srex";"Page Table";;;;;
ReportViewName;"\Samples\03-Cross tab - Simple chart (Orders).srex";"Chart JS";;;;;
ReportViewName;"\Samples\03-Cross tab - Simple chart (Orders).srex";"Chart NVD3";;;;;
ReportViewName;"\Samples\03-Cross tab - Simple chart (Orders).srex";"Chart Plotly";;;;;
ReportViewName;"\Samples\03-Cross tab - Simple chart (Orders).srex";"Data Table";;;;;
ReportViewName;"\Samples\03-Cross tab - Simple chart (Orders).srex";"view Excel";;;;;
ReportViewName;"\Samples\03-Cross tab - Simple chart (Orders).srex";"Model CSV Excel View";;;;;
ReportDisplayName;"\Samples\04-Chart Line with focus with a time Axis (Sales).srex";"04-Chart Line with focus with a time Axis (Sales)";;;;;
ReportViewName;"\Samples\04-Chart Line with focus with a time Axis (Sales).srex";"view";;;;;
ReportViewName;"\Samples\04-Chart Line with focus with a time Axis (Sales).srex";"Model HTML View";;;;;
ReportViewName;"\Samples\04-Chart Line with focus with a time Axis (Sales).srex";"Model Container";;;;;
ReportViewName;"\Samples\04-Chart Line with focus with a time Axis (Sales).srex";"Page Table";;;;;
ReportViewName;"\Samples\04-Chart Line with focus with a time Axis (Sales).srex";"Chart JS";;;;;
ReportViewName;"\Samples\04-Chart Line with focus with a time Axis (Sales).srex";"Chart NVD3";;;;;
ReportViewName;"\Samples\04-Chart Line with focus with a time Axis (Sales).srex";"Chart Plotly";;;;;
ReportViewName;"\Samples\04-Chart Line with focus with a time Axis (Sales).srex";"Data Table";;;;;
ReportDisplayName;"\Samples\04-Chart Stacked Area with a time Axis (Sales).srex";"04-Chart Stacked Area with a time Axis (Sales)";;;;;
ReportViewName;"\Samples\04-Chart Stacked Area with a time Axis (Sales).srex";"view";;;;;
ReportViewName;"\Samples\04-Chart Stacked Area with a time Axis (Sales).srex";"Model HTML View";;;;;
ReportViewName;"\Samples\04-Chart Stacked Area with a time Axis (Sales).srex";"Model Container";;;;;
ReportViewName;"\Samples\04-Chart Stacked Area with a time Axis (Sales).srex";"Page Table";;;;;
ReportViewName;"\Samples\04-Chart Stacked Area with a time Axis (Sales).srex";"Chart JS";;;;;
ReportViewName;"\Samples\04-Chart Stacked Area with a time Axis (Sales).srex";"Chart NVD3";;;;;
ReportViewName;"\Samples\04-Chart Stacked Area with a time Axis (Sales).srex";"Chart Plotly";;;;;
ReportViewName;"\Samples\04-Chart Stacked Area with a time Axis (Sales).srex";"Data Table";;;;;
ReportDisplayName;"\Samples\04-Chart with a splitter (Sales).srex";"04-Chart with a splitter (Sales)";;;;;
ReportViewName;"\Samples\04-Chart with a splitter (Sales).srex";"view";;;;;
ReportViewName;"\Samples\04-Chart with a splitter (Sales).srex";"Model HTML View";;;;;
ReportViewName;"\Samples\04-Chart with a splitter (Sales).srex";"Model Container";;;;;
ReportViewName;"\Samples\04-Chart with a splitter (Sales).srex";"Page Table";;;;;
ReportViewName;"\Samples\04-Chart with a splitter (Sales).srex";"Chart JS";;;;;
ReportViewName;"\Samples\04-Chart with a splitter (Sales).srex";"Chart NVD3";;;;;
ReportViewName;"\Samples\04-Chart with a splitter (Sales).srex";"Chart Plotly";;;;;
ReportViewName;"\Samples\04-Chart with a splitter (Sales).srex";"Data Table";;;;;
ReportDisplayName;"\Samples\04-Microsoft Chart with 2 series and a splitter (Sales).srex";"04-Microsoft Chart with 2 series and a splitter (Sales)";;;;;
ReportViewName;"\Samples\04-Microsoft Chart with 2 series and a splitter (Sales).srex";"view";;;;;
ReportViewName;"\Samples\04-Microsoft Chart with 2 series and a splitter (Sales).srex";"Model HTML View";;;;;
ReportViewName;"\Samples\04-Microsoft Chart with 2 series and a splitter (Sales).srex";"Model Container";;;;;
ReportViewName;"\Samples\04-Microsoft Chart with 2 series and a splitter (Sales).srex";"Page Table";;;;;
ReportViewName;"\Samples\04-Microsoft Chart with 2 series and a splitter (Sales).srex";"Chart JS";;;;;
ReportViewName;"\Samples\04-Microsoft Chart with 2 series and a splitter (Sales).srex";"Chart NVD3";;;;;
ReportViewName;"\Samples\04-Microsoft Chart with 2 series and a splitter (Sales).srex";"Chart Plotly";;;;;
ReportViewName;"\Samples\04-Microsoft Chart with 2 series and a splitter (Sales).srex";"Data Table";;;;;
ReportDisplayName;"\Samples\05-CSS Positioning - Charts and tables (Sales).srex";"05-CSS Positioning - Charts and tables (Sales)";;;;;
ReportViewName;"\Samples\05-CSS Positioning - Charts and tables (Sales).srex";"view";;;;;
ReportViewName;"\Samples\05-CSS Positioning - Charts and tables (Sales).srex";"per category";;;;;
ReportViewName;"\Samples\05-CSS Positioning - Charts and tables (Sales).srex";"Model Container";;;;;
ReportViewName;"\Samples\05-CSS Positioning - Charts and tables (Sales).srex";"Page Table";;;;;
ReportViewName;"\Samples\05-CSS Positioning - Charts and tables (Sales).srex";"Chart JS";;;;;
ReportViewName;"\Samples\05-CSS Positioning - Charts and tables (Sales).srex";"Chart NVD3";;;;;
ReportViewName;"\Samples\05-CSS Positioning - Charts and tables (Sales).srex";"Chart Plotly";;;;;
ReportViewName;"\Samples\05-CSS Positioning - Charts and tables (Sales).srex";"Data Table";;;;;
ReportViewName;"\Samples\05-CSS Positioning - Charts and tables (Sales).srex";"per country";;;;;
ReportViewName;"\Samples\05-CSS Positioning - Charts and tables (Sales).srex";"Model Container";;;;;
ReportViewName;"\Samples\05-CSS Positioning - Charts and tables (Sales).srex";"Page Table";;;;;
ReportViewName;"\Samples\05-CSS Positioning - Charts and tables (Sales).srex";"Chart JS";;;;;
ReportViewName;"\Samples\05-CSS Positioning - Charts and tables (Sales).srex";"Chart NVD3";;;;;
ReportViewName;"\Samples\05-CSS Positioning - Charts and tables (Sales).srex";"Chart Plotly";;;;;
ReportViewName;"\Samples\05-CSS Positioning - Charts and tables (Sales).srex";"Data Table";;;;;
ReportViewName;"\Samples\05-CSS Positioning - Charts and tables (Sales).srex";"per employee";;;;;
ReportViewName;"\Samples\05-CSS Positioning - Charts and tables (Sales).srex";"Model Container";;;;;
ReportViewName;"\Samples\05-CSS Positioning - Charts and tables (Sales).srex";"Page Table";;;;;
ReportViewName;"\Samples\05-CSS Positioning - Charts and tables (Sales).srex";"Chart JS";;;;;
ReportViewName;"\Samples\05-CSS Positioning - Charts and tables (Sales).srex";"Chart NVD3";;;;;
ReportViewName;"\Samples\05-CSS Positioning - Charts and tables (Sales).srex";"Chart Plotly";;;;;
ReportViewName;"\Samples\05-CSS Positioning - Charts and tables (Sales).srex";"Data Table";;;;;
ReportDisplayName;"\Samples\06-Tab Control (Sales).srex";"06-Tab Control (Sales)";;;;;
ReportViewName;"\Samples\06-Tab Control (Sales).srex";"view";;;;;
ReportViewName;"\Samples\06-Tab Control (Sales).srex";"Tab Control View";;;;;
ReportViewName;"\Samples\06-Tab Control (Sales).srex";"Per category";;;;;
ReportViewName;"\Samples\06-Tab Control (Sales).srex";"Model HTML View";;;;;
ReportViewName;"\Samples\06-Tab Control (Sales).srex";"Model Container";;;;;
ReportViewName;"\Samples\06-Tab Control (Sales).srex";"Page Table";;;;;
ReportViewName;"\Samples\06-Tab Control (Sales).srex";"Chart JS";;;;;
ReportViewName;"\Samples\06-Tab Control (Sales).srex";"Chart NVD3";;;;;
ReportViewName;"\Samples\06-Tab Control (Sales).srex";"Chart Plotly";;;;;
ReportViewName;"\Samples\06-Tab Control (Sales).srex";"Data Table";;;;;
ReportViewName;"\Samples\06-Tab Control (Sales).srex";"Per employee";;;;;
ReportViewName;"\Samples\06-Tab Control (Sales).srex";"Model HTML View";;;;;
ReportViewName;"\Samples\06-Tab Control (Sales).srex";"Model Container";;;;;
ReportViewName;"\Samples\06-Tab Control (Sales).srex";"Page Table";;;;;
ReportViewName;"\Samples\06-Tab Control (Sales).srex";"Chart JS";;;;;
ReportViewName;"\Samples\06-Tab Control (Sales).srex";"Chart NVD3";;;;;
ReportViewName;"\Samples\06-Tab Control (Sales).srex";"Chart Plotly";;;;;
ReportViewName;"\Samples\06-Tab Control (Sales).srex";"Data Table";;;;;
ReportViewName;"\Samples\06-Tab Control (Sales).srex";"Per country";;;;;
ReportViewName;"\Samples\06-Tab Control (Sales).srex";"Model HTML View";;;;;
ReportViewName;"\Samples\06-Tab Control (Sales).srex";"Model Container";;;;;
ReportViewName;"\Samples\06-Tab Control (Sales).srex";"Page Table";;;;;
ReportViewName;"\Samples\06-Tab Control (Sales).srex";"Chart JS";;;;;
ReportViewName;"\Samples\06-Tab Control (Sales).srex";"Chart NVD3";;;;;
ReportViewName;"\Samples\06-Tab Control (Sales).srex";"Chart Plotly";;;;;
ReportViewName;"\Samples\06-Tab Control (Sales).srex";"Data Table";;;;;
ReportViewName;"\Samples\06-Tab Control (Sales).srex";"Sales per Year";;;;;
ReportViewName;"\Samples\06-Tab Control (Sales).srex";"Model HTML View";;;;;
ReportViewName;"\Samples\06-Tab Control (Sales).srex";"Model Container";;;;;
ReportViewName;"\Samples\06-Tab Control (Sales).srex";"Page Table";;;;;
ReportViewName;"\Samples\06-Tab Control (Sales).srex";"Chart JS";;;;;
ReportViewName;"\Samples\06-Tab Control (Sales).srex";"Chart NVD3";;;;;
ReportViewName;"\Samples\06-Tab Control (Sales).srex";"Chart Plotly";;;;;
ReportViewName;"\Samples\06-Tab Control (Sales).srex";"Data Table";;;;;
ReportDisplayName;"\Samples\07-Outputs and schedules.srex";"07-Outputs and schedules";;;;;
ReportViewName;"\Samples\07-Outputs and schedules.srex";"view";;;;;
ReportViewName;"\Samples\07-Outputs and schedules.srex";"Model HTML View";;;;;
ReportViewName;"\Samples\07-Outputs and schedules.srex";"Model Container";;;;;
ReportViewName;"\Samples\07-Outputs and schedules.srex";"Page Table";;;;;
ReportViewName;"\Samples\07-Outputs and schedules.srex";"Chart JS";;;;;
ReportViewName;"\Samples\07-Outputs and schedules.srex";"Chart NVD3";;;;;
ReportViewName;"\Samples\07-Outputs and schedules.srex";"Chart Plotly";;;;;
ReportViewName;"\Samples\07-Outputs and schedules.srex";"Data Table";;;;;
ReportViewName;"\Samples\07-Outputs and schedules.srex";"view Excel";;;;;
ReportViewName;"\Samples\07-Outputs and schedules.srex";"Model CSV Excel View";;;;;
ReportOutputName;"\Samples\07-Outputs and schedules.srex";"HTML file (Folder Device)";;;;;
ReportOutputName;"\Samples\07-Outputs and schedules.srex";"Email to the Seal (Email Device)";;;;;
ReportOutputName;"\Samples\07-Outputs and schedules.srex";"Excel file (Folder Device)";;;;;
ReportDisplayName;"\Samples\20-SQL Server Temp Tables.srex";"20-SQL Server Temp Tables";;;;;
ReportViewName;"\Samples\20-SQL Server Temp Tables.srex";"view";;;;;
ReportViewName;"\Samples\20-SQL Server Temp Tables.srex";"Model HTML View";;;;;
ReportViewName;"\Samples\20-SQL Server Temp Tables.srex";"Model Container";;;;;
ReportViewName;"\Samples\20-SQL Server Temp Tables.srex";"Page Table";;;;;
ReportViewName;"\Samples\20-SQL Server Temp Tables.srex";"Chart JS";;;;;
ReportViewName;"\Samples\20-SQL Server Temp Tables.srex";"Chart NVD3";;;;;
ReportViewName;"\Samples\20-SQL Server Temp Tables.srex";"Chart Plotly";;;;;
ReportViewName;"\Samples\20-SQL Server Temp Tables.srex";"Data Table";;;;;
ReportDisplayName;"\Samples\21-SQL Server Stored Procedure with parameters.srex";"21-SQL Server Stored Procedure with parameters";;;;;
ReportViewName;"\Samples\21-SQL Server Stored Procedure with parameters.srex";"view";;;;;
ReportViewName;"\Samples\21-SQL Server Stored Procedure with parameters.srex";"Model HTML View";;;;;
ReportViewName;"\Samples\21-SQL Server Stored Procedure with parameters.srex";"Model Container";;;;;
ReportViewName;"\Samples\21-SQL Server Stored Procedure with parameters.srex";"Page Table";;;;;
ReportViewName;"\Samples\21-SQL Server Stored Procedure with parameters.srex";"Chart JS";;;;;
ReportViewName;"\Samples\21-SQL Server Stored Procedure with parameters.srex";"Chart NVD3";;;;;
ReportViewName;"\Samples\21-SQL Server Stored Procedure with parameters.srex";"Chart Plotly";;;;;
ReportViewName;"\Samples\21-SQL Server Stored Procedure with parameters.srex";"Data Table";;;;;
ReportDisplayName;"\Samples\30-Task Refresh Enumerated Lists.srex";"30-Task Refresh Enumerated Lists";;;;;
ReportViewName;"\Samples\30-Task Refresh Enumerated Lists.srex";"view";;;;;
ReportDisplayName;"\Samples\31-Task Backup SQLServer Database.srex";"31-Task Backup SQLServer Database";;;;;
ReportViewName;"\Samples\31-Task Backup SQLServer Database.srex";"view";;;;;
ReportDisplayName;"\Samples\32-Task Load Excel Table in SQLServer Database.srex";"32-Task Load Excel Table in SQLServer Database";;;;;
ReportViewName;"\Samples\32-Task Load Excel Table in SQLServer Database.srex";"view";;;;;
ReportDisplayName;"\Samples\33-Task Load Table in SQLServer Database.srex";"33-Task Load Table in SQLServer Database";;;;;
ReportViewName;"\Samples\33-Task Load Table in SQLServer Database.srex";"view";;;;;
ReportDisplayName;"\Samples\34-Task Generate several Report Results.srex";"34-Task Generate several Report Results";;;;;
ReportViewName;"\Samples\34-Task Generate several Report Results.srex";"view";;;;;
ReportViewName;"\Samples\34-Task Generate several Report Results.srex";"Model HTML View";;;;;
ReportViewName;"\Samples\34-Task Generate several Report Results.srex";"Model Container";;;;;
ReportViewName;"\Samples\34-Task Generate several Report Results.srex";"Page Table";;;;;
ReportViewName;"\Samples\34-Task Generate several Report Results.srex";"Chart JS";;;;;
ReportViewName;"\Samples\34-Task Generate several Report Results.srex";"Chart NVD3";;;;;
ReportViewName;"\Samples\34-Task Generate several Report Results.srex";"Chart Plotly";;;;;
ReportViewName;"\Samples\34-Task Generate several Report Results.srex";"Data Table";;;;;
ReportDisplayName;"\Samples\40-No SQL Source - Hard Disks.srex";"40-No SQL Source - Hard Disks";;;;;
ReportViewName;"\Samples\40-No SQL Source - Hard Disks.srex";"view";;;;;
ReportViewName;"\Samples\40-No SQL Source - Hard Disks.srex";"Model HTML View";;;;;
ReportViewName;"\Samples\40-No SQL Source - Hard Disks.srex";"Model Container";;;;;
ReportViewName;"\Samples\40-No SQL Source - Hard Disks.srex";"Page Table";;;;;
ReportViewName;"\Samples\40-No SQL Source - Hard Disks.srex";"Chart JS";;;;;
ReportViewName;"\Samples\40-No SQL Source - Hard Disks.srex";"Chart NVD3";;;;;
ReportViewName;"\Samples\40-No SQL Source - Hard Disks.srex";"Chart Plotly";;;;;
ReportViewName;"\Samples\40-No SQL Source - Hard Disks.srex";"Data Table";;;;;
ReportViewName;"\Samples\40-No SQL Source - Hard Disks.srex";"view Excel";;;;;
ReportViewName;"\Samples\40-No SQL Source - Hard Disks.srex";"Model CSV Excel View";;;;;
